"Site_ID","Site_Name","Latitude","Longitude","Elevation","Sample_ID","Type","Start_Date","Start_Time_Zone","Collection_Date","Collection_Time_Zone","Phase","Depth_meters","Sample_Comments","d2H","d18O","D17O","d2H_Analytical_SD","d18O_Analytical_SD","D17O_Analytical_SD","WI_Analysis_Source","Project_ID","Bout","Species","Depth"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-196_CPER1-010-2","Soil","",NA,"2020-08-14",6,NA,0.05,"no depth info given",-74.7501463699,-4.2018318182,NA,0.103644660104854,0.0236545168056367,NA,"SPATIAL",384,"CPER1",NA,"0-10 cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-196_CPER1-010-3","Soil","",NA,"2020-08-14",6,NA,0.05,"no depth info given",-76.5851754898,-3.0081617998,NA,0.0783582795197609,0.0261318951300719,NA,"SPATIAL",384,"CPER1",NA,"0-10 cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-196_CPER1-1020-3","Soil","",NA,"2020-08-14",6,NA,0.15,"no depth info given",-80.9868742232,-4.2454402633,NA,0.0488455964670768,0.0175317435799714,NA,"SPATIAL",384,"CPER1",NA,"10-20 cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-196_CPER1-2030-1","Soil","",NA,"2020-08-14",6,NA,0.25,"no depth info given",-86.2158172342,-6.2576187485,NA,0.217541133082179,0.018617250561014,NA,"SPATIAL",384,"CPER1",NA,"20-40 cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-196_CPER1-2030-2","Soil","",NA,"2020-08-14",6,NA,0.25,"no depth info given",-90.3449248095,-6.6891060989,NA,0.0333940767465807,0.0601991584664074,NA,"SPATIAL",384,"CPER1",NA,"20-40 cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-196_CPER1-2030-3","Soil","",NA,"2020-08-14",6,NA,0.25,"no depth info given",-87.338621755,-6.9007145626,NA,0.140964940939601,0.02187026406082,NA,"SPATIAL",384,"CPER1",NA,"20-40 cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-196_CPER1-3040-1","Soil","",NA,"2020-08-14",6,NA,0.35,"no depth info given",-90.7914032185,-5.4071100773,NA,0.0334050548280791,0.0230564205415269,NA,"SPATIAL",384,"CPER1",NA,"20-40 cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-196_CPER1-3040-3","Soil","",NA,"2020-08-14",6,NA,0.35,"no depth info given",-92.6303137377,-8.4794351679,NA,0.174878373117315,0.0222763325291156,NA,"SPATIAL",384,"CPER1",NA,"20-40 cm"
"CPER_tower","Central Plains Experimental Range NEON",40.815536,-104.74559,1654,"20-196_CPER1-deep-3","Soil","",NA,"2020-08-14",6,NA,0.54,"0.40-0.68",-76.1590434434,-3.1733365117,NA,0.0974511102773334,0.0154560731425339,NA,"SPATIAL",384,"CPER1",NA,"40+ cm"
"NIWO_tower","Niwot Ridge NEON",40.05425,-105.58237,3490,"20-196_NIWO1-010-1","Soil","",NA,"2020-08-17",6,NA,0.05,"no depth info given",-116.8773178885,-12.1538122378,NA,0.0548317654274787,0.00421955882415731,NA,"SPATIAL",384,"NIWO1",NA,"0-10 cm"
"NIWO_tower","Niwot Ridge NEON",40.05425,-105.58237,3490,"20-196_NIWO1-1020-1","Soil","",NA,"2020-08-17",6,NA,0.15,"no depth info given",-152.1749174857,-18.7083641954,NA,0.2007848589765,0.0196104324422718,NA,"SPATIAL",384,"NIWO1",NA,"10-20 cm"
"NIWO_tower","Niwot Ridge NEON",40.05425,-105.58237,3490,"20-196_NIWO1-1020-2","Soil","",NA,"2020-08-17",6,NA,0.15,"no depth info given",-93.8736335168,-9.4361421347,NA,0.162679511247372,0.0182945268237901,NA,"SPATIAL",384,"NIWO1",NA,"10-20 cm"
"NIWO_tower","Niwot Ridge NEON",40.05425,-105.58237,3490,"20-196_NIWO1-1020-3","Soil","",NA,"2020-08-17",6,NA,0.15,"no depth info given",-131.0951239202,-14.8352049695,NA,0.177433210819577,0.0139357518766632,NA,"SPATIAL",384,"NIWO1",NA,"10-20 cm"
"NIWO_tower","Niwot Ridge NEON",40.05425,-105.58237,3490,"20-196_NIWO1-2030-1","Soil","",NA,"2020-08-17",6,NA,0.25,"no depth info given",-149.6236318168,-18.1576575462,NA,0.13958574320217,0.0682258295990256,NA,"SPATIAL",384,"NIWO1",NA,"20-40 cm"
"NIWO_tower","Niwot Ridge NEON",40.05425,-105.58237,3490,"20-196_NIWO1-2030-3","Soil","",NA,"2020-08-17",6,NA,0.25,"no depth info given",-144.3168740518,-17.3605304096,NA,0.223235651459115,0.0368111509719687,NA,"SPATIAL",384,"NIWO1",NA,"20-40 cm"
"NIWO_tower","Niwot Ridge NEON",40.05425,-105.58237,3490,"20-196_NIWO1-3040-1","Soil","",NA,"2020-08-17",6,NA,0.33,"0.30-0.35",-144.6022413673,-17.4737205789,NA,0.273955689812321,0.0534683202792305,NA,"SPATIAL",384,"NIWO1",NA,"20-40 cm"
